participant_id,session,file_name,trial_type,trial,phase,swap_count,choice,chosen_logo,rt_s,outcome,points,is_optimal,regret,usable,position_in_bandit_stream,food_bonus_cue,cue_type,target_rt_ms,adaptive_window_ms,target_hit,target_too_fast,target_no_response
1,1,sub-001_ses-001_1.csv,bandit,117.0,2.0,1.0,3.0,heart,0.3684,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,118.0,2.0,1.0,3.0,heart,0.3877,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,119.0,2.0,1.0,3.0,heart,0.4083,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,120.0,2.0,1.0,3.0,heart,0.4115,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,121.0,2.0,1.0,3.0,heart,0.541,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,122.0,2.0,1.0,3.0,heart,0.3962,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,123.0,2.0,1.0,3.0,heart,0.5061,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,124.0,2.0,1.0,1.0,circle,0.3964,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,125.0,2.0,1.0,2.0,triangle,0.277,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,126.0,2.0,1.0,2.0,triangle,0.3802,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,127.0,2.0,1.0,2.0,triangle,0.6431,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,128.0,2.0,1.0,2.0,triangle,0.3984,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,129.0,2.0,1.0,2.0,triangle,0.6669,loss,-10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,130.0,3.0,2.0,3.0,heart,0.3145,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,131.0,3.0,2.0,1.0,circle,0.2384,loss,-10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,132.0,3.0,2.0,3.0,heart,0.2431,reward,10.0,0.0,-20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,133.0,3.0,2.0,3.0,heart,0.358,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,134.0,3.0,2.0,3.0,heart,0.6068,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,135.0,3.0,2.0,3.0,heart,0.4044,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,136.0,3.0,2.0,3.0,heart,0.335,loss,-10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,137.0,3.0,2.0,1.0,circle,0.8885,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,138.0,3.0,2.0,2.0,triangle,0.2521,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,139.0,3.0,2.0,2.0,triangle,0.2497,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,140.0,3.0,2.0,2.0,triangle,0.4173,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,141.0,3.0,2.0,3.0,heart,0.2752,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,142.0,3.0,2.0,3.0,heart,0.4111,loss,-10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,143.0,3.0,2.0,2.0,triangle,0.4625,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,144.0,3.0,2.0,3.0,heart,0.2556,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,145.0,3.0,2.0,2.0,triangle,0.2394,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,146.0,3.0,2.0,2.0,triangle,0.475,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,147.0,3.0,2.0,2.0,triangle,0.4662,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,148.0,3.0,2.0,2.0,triangle,0.2368,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,149.0,3.0,2.0,2.0,triangle,0.9589,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,150.0,3.0,2.0,2.0,triangle,0.5776,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,151.0,3.0,2.0,2.0,triangle,0.2439,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,152.0,3.0,2.0,2.0,triangle,0.4331,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,153.0,3.0,2.0,2.0,triangle,0.4215,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,154.0,3.0,2.0,2.0,triangle,0.5094,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,155.0,3.0,2.0,2.0,triangle,0.6283,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,156.0,3.0,2.0,2.0,triangle,0.2742,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,157.0,3.0,2.0,2.0,triangle,0.3848,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,158.0,3.0,2.0,2.0,triangle,0.4716,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,159.0,3.0,2.0,2.0,triangle,0.3265,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,160.0,3.0,2.0,2.0,triangle,0.3853,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,161.0,3.0,2.0,2.0,triangle,0.2593,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,162.0,3.0,2.0,2.0,triangle,0.2469,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,163.0,3.0,2.0,3.0,heart,0.3818,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,164.0,3.0,2.0,3.0,heart,0.303,loss,-10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,165.0,3.0,2.0,2.0,triangle,0.4433,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,166.0,3.0,2.0,2.0,triangle,0.4092,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,167.0,3.0,2.0,2.0,triangle,0.3901,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,168.0,3.0,2.0,2.0,triangle,0.3428,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,169.0,3.0,2.0,2.0,triangle,0.7896,reward,10.0,1.0,0.0,True,,,,,,,,
