trial,swap_count,choice_arm,reward,is_optimal,q_arm1_pre,q_arm2_pre,q_arm3_pre,q_chosen_pre,p_choose_arm1,p_choose_arm2,p_choose_arm3,p_chosen,prediction_error,alpha_used,rt,participant_id,session,file_name
66,0,1,1,1.0,0.988501484614069,-0.9989264048068877,-0.9890502730265541,0.988501484614069,0.9866304619689532,0.006601610730809932,0.0067679273002369264,0.9866304619689532,0.011498515385931052,0.8052152389611741,0.4427,1,1,sub-001_ses-001_1.csv
67,0,1,0,1.0,0.9977602644282502,-0.9989264048068877,-0.9890502730265541,0.9977602644282502,0.9869346820656638,0.006451392925953195,0.006613925008383096,0.9869346820656638,-1.9977602644282502,0.7779413151016228,0.525,1,1,sub-001_ses-001_1.csv
68,0,2,0,0.0,-0.5563799829388285,-0.9989264048068877,-0.9890502730265541,-0.9989264048068877,0.6009090455078634,0.19706313872822495,0.20202781576391157,0.19706313872822495,-0.0010735951931123422,0.7779413151016228,0.3539,1,1,sub-001_ses-001_1.csv
69,1,1,0,0.0,-0.5563799829388285,-0.9997615988633043,-0.9890502730265541,-0.5563799829388285,0.6011580511996824,0.19673041641338804,0.20211153238692967,0.6011580511996824,-0.4436200170611715,0.7779413151016228,0.4724,1,1,sub-001_ses-001_1.csv
70,1,3,1,1.0,-0.9014903224168006,-0.9997615988633043,-0.9890502730265541,-0.9890502730265541,0.3871866952783909,0.3022726595940517,0.31054064512755747,0.31054064512755747,1.989050273026554,0.8052152389611741,0.3357,1,1,sub-001_ses-001_1.csv
71,1,3,1,1.0,-0.9014903224168006,-0.9997615988633043,0.6125633178743112,0.6125633178743112,0.02121786453221465,0.016564568001096725,0.9622175674666887,0.9622175674666887,0.3874366821256888,0.8052152389611741,0.4342,1,1,sub-001_ses-001_1.csv
72,1,3,1,1.0,-0.9014903224168006,-0.9997615988633043,0.9245332384544722,0.9245332384544722,0.009871670063488904,0.007706711003022184,0.9824216189334888,0.9824216189334888,0.07546676154552778,0.8052152389611741,0.3446,1,1,sub-001_ses-001_1.csv
73,1,3,1,1.0,-0.9014903224168006,-0.9997615988633043,0.9853002248859803,0.9853002248859803,0.008491583150226361,0.006629291383934115,0.9848791254658394,0.9848791254658394,0.014699775114019653,0.8052152389611741,0.4021,1,1,sub-001_ses-001_1.csv
74,1,3,1,1.0,-0.9014903224168006,-0.9997615988633043,0.9971367078170912,0.9971367078170912,0.008245765728799865,0.006437384258365876,0.9853168500128344,0.9853168500128344,0.0028632921829088165,0.8052152389611741,0.448,1,1,sub-001_ses-001_1.csv
75,1,3,0,1.0,-0.9014903224168006,-0.9997615988633043,0.9994422743163678,0.9994422743163678,0.008198706430709612,0.00640064554971231,0.9854006480195779,0.9854006480195779,-1.9994422743163678,0.7779413151016228,0.5458,1,1,sub-001_ses-001_1.csv
76,1,3,0,1.0,-0.9014903224168006,-0.9997615988633043,-0.5560064780350871,-0.5560064780350871,0.23989304229384398,0.18728202388289952,0.5728249338232566,0.5728249338232566,-0.44399352196491293,0.7779413151016228,0.4611,1,1,sub-001_ses-001_1.csv
77,1,2,0,0.0,-0.9014903224168006,-0.9997615988633043,-0.9014073824090727,-0.9997615988633043,0.3595959874538413,0.2807328785635787,0.3596711339825798,0.2807328785635787,-0.0002384011366957095,0.7779413151016228,0.3297,1,1,sub-001_ses-001_1.csv
78,1,3,0,1.0,-0.9014903224168006,-0.9999470609571071,-0.9014073824090727,-0.9014073824090727,0.3596431506703569,0.28063854227462015,0.35971830705502295,0.35971830705502295,-0.0985926175909273,0.7779413151016228,0.2909,1,1,sub-001_ses-001_1.csv
79,1,1,1,0.0,-0.9014903224168006,-0.9999470609571071,-0.9781066529970701,-0.9014903224168006,0.38390823466283586,0.2995731939901541,0.31651857134701017,0.38390823466283586,1.9014903224168007,0.8052152389611741,0.4106,1,1,sub-001_ses-001_1.csv
80,1,1,1,0.0,0.6296186619304035,-0.9999470609571071,-0.9781066529970701,0.6296186619304035,0.9672125584665197,0.01594281750799706,0.01684462402548334,0.9672125584665197,0.3703813380695965,0.8052152389611741,0.741,1,1,sub-001_ses-001_1.csv
81,1,1,0,0.0,0.9278553595708731,-0.9999470609571071,-0.9781066529970701,0.9278553595708731,0.9842606787389645,0.007653208509977632,0.008086112751057814,0.9842606787389645,-1.9278553595708732,0.7779413151016228,0.5066,1,1,sub-001_ses-001_1.csv
