participant_id,session,task_version,trial_type,t_onset_s,seed,trial,swap_count,position1,position2,position3,p_reward_pos1,p_reward_pos2,p_reward_pos3,choice,chosen_logo,rt_s,choice_late,outcome,points,optimal_position,is_optimal,optimal_points,regret,cumulative_score,anticip_ms,isi_ms,cf_outcome_pos1,cf_outcome_pos2,cf_outcome_pos3,cf_points_pos1,cf_points_pos2,cf_points_pos3,bonus_trial_index,position_in_bandit_stream,food_set,cue_type,food_bonus_cue,cue_image,cue_duration_ms,anticipatory_delay_ms,adaptive_window_ms,target_response_key,target_rt_ms,premature_rt_ms,target_hit,target_miss,target_too_fast,target_no_response,bonus_points_earned,bonus_cumulative,bonus_hit_rate,cue_onset_ms,delay_onset_ms,target_onset_ms,response_ms,feedback_onset_ms,trigger_code
001,001,v12,bandit,283.0483,3616709992,57,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5118,0,reward,10,1,1,10,0,250,784,602,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,287.2314,3616709992,58,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3703,0,reward,10,1,1,10,0,260,527,485,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,290.8647,3616709992,59,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3592,0,reward,10,1,1,10,0,270,436,652,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,294.598,3616709992,60,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5874,0,reward,10,1,1,10,0,280,708,645,reward,reward,reward,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,298.8146,3616709992,61,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3976,0,loss,-10,1,1,-10,0,270,765,576,loss,loss,reward,-10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,302.6313,3616709992,62,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,1.1954,0,loss,-10,1,0,10,20,260,758,586,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,307.2479,3616709992,63,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4073,0,reward,10,1,1,10,0,270,793,686,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,311.4145,3616709992,64,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4097,0,reward,10,1,1,10,0,280,693,690,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bonus_neutral,315.5311,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,64,sweet,neutral,0,stimuli/neutral/scramble_bandit_25.jpg,1500,2431,375,down,253,,1,0,0,0,15,120,0.8,1100,2617,5067,5320,5335,response
001,001,v12,bandit,322.382,3616709992,65,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,1.4638,0,reward,10,1,1,10,0,290,488,571,reward,reward,reward,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,327.181,3616709992,66,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4427,0,reward,10,1,1,10,0,300,716,545,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,331.0976,3616709992,67,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.525,0,loss,-10,1,1,-10,0,290,568,633,loss,reward,loss,-10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,334.8977,3616709992,68,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,0.3539,0,loss,-10,1,0,10,20,280,607,541,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,338.4811,3616709992,69,1,circle,triangle,heart,0.5,0.3,0.8,1,circle,0.4724,0,loss,-10,3,0,10,20,270,403,476,loss,loss,reward,-10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,341.8977,3616709992,70,1,circle,triangle,heart,0.5,0.3,0.8,3,heart,0.3357,0,reward,10,3,1,10,0,280,719,626,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,345.881,3616709992,71,1,circle,triangle,heart,0.5,0.3,0.8,3,heart,0.4342,0,reward,10,3,1,10,0,290,650,468,loss,loss,reward,-10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,349.6976,3616709992,72,1,circle,triangle,heart,0.5,0.3,0.8,3,heart,0.3446,0,reward,10,3,1,10,0,300,439,674,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,353.4309,3616709992,73,1,circle,triangle,heart,0.5,0.3,0.8,3,heart,0.4021,0,reward,10,3,1,10,0,310,622,421,loss,loss,reward,-10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,357.2309,3616709992,74,1,circle,triangle,heart,0.5,0.3,0.8,3,heart,0.448,0,reward,10,3,1,10,0,320,449,472,loss,loss,reward,-10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bonus_neutral,360.8976,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,74,sweet,neutral,0,stimuli/neutral/scramble_bandit_25.jpg,1500,2516,360,down,268,,1,0,0,0,15,135,0.818,1100,2617,5150,5418,5435,response
001,001,v12,bandit,367.8479,3616709992,75,1,circle,triangle,heart,0.5,0.3,0.8,3,heart,0.5458,0,loss,-10,3,1,-10,0,310,749,609,loss,loss,loss,-10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,371.8142,3616709992,76,1,circle,triangle,heart,0.5,0.3,0.8,3,heart,0.4611,0,loss,-10,3,1,-10,0,300,637,558,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,375.5474,3616709992,77,1,circle,triangle,heart,0.5,0.3,0.8,2,triangle,0.3297,0,loss,-10,3,0,10,20,290,576,592,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,379.1141,3616709992,78,1,circle,triangle,heart,0.5,0.3,0.8,3,heart,0.2909,0,loss,-10,3,1,-10,0,280,591,433,loss,loss,loss,-10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,382.4974,3616709992,79,1,circle,triangle,heart,0.5,0.3,0.8,1,circle,0.4106,0,reward,10,3,0,-10,-20,290,512,527,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bonus_food,386.2141,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,79,sweet,food_sweet,1,stimuli/win/sweet/sweet_bandit_149.jpeg,1500,2164,345,right,,2181,0,0,1,0,0,135,0.75,1100,2617,0,3281,3288,bonus_feedback
001,001,v12,bandit,391.0311,3616709992,80,1,circle,triangle,heart,0.5,0.3,0.8,1,circle,0.741,0,reward,10,3,0,-10,-20,300,618,429,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,395.0641,3616709992,81,1,circle,triangle,heart,0.5,0.3,0.8,1,circle,0.5066,0,loss,-10,3,0,10,20,290,708,467,loss,loss,reward,-10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,398.8307,3616709992,82,1,circle,triangle,heart,0.5,0.3,0.8,3,heart,0.2889,0,reward,10,3,1,10,0,300,669,456,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,402.564,3616709992,83,1,circle,triangle,heart,0.5,0.3,0.8,3,heart,0.4345,0,reward,10,3,1,10,0,310,509,661,reward,reward,reward,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bonus_food,406.4473,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,83,sweet,food_sweet,1,stimuli/win/sweet/sweet_bandit_050.jpg,1500,1721,345,right,,1871,0,0,1,0,0,135,0.692,1117,2633,0,2988,3003,bonus_feedback
001,001,v12,bandit,410.9809,3616709992,84,1,circle,triangle,heart,0.5,0.3,0.8,3,heart,0.6951,0,reward,10,3,1,10,0,320,447,588,loss,loss,reward,-10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
